key,value
kernel32.dll;LoadLibraryA,240
kernel32.dll;GetProcAddress,210
kernel32.dll;GetModuleHandleA,210
kernel32.dll;CloseHandle,210
kernel32.dll;GetModuleFileNameA,210
kernel32.dll;WriteFile,210
kernel32.dll;ExitProcess,180
kernel32.dll;GetCurrentProcess,150
kernel32.dll;GetLastError,150
kernel32.dll;DeleteFileA,150
kernel32.dll;lstrcatA,150
kernel32.dll;Sleep,150
kernel32.dll;FreeLibrary,150
advapi32.dll;OpenProcessToken,150
msvcrt.dll;_adjust_fdiv,150
msvcrt.dll;_initterm,150
msvcrt.dll;_onexit,150
msvcrt.dll;__dllonexit,150
msvcrt.dll;free,150
msvcrt.dll;__CxxFrameHandler,150
kernel32.dll;GetStartupInfoA,120
kernel32.dll;HeapFree,120
kernel32.dll;GetStdHandle,120
kernel32.dll;GetVersionExA,120
kernel32.dll;VirtualFree,120
kernel32.dll;HeapAlloc,120
kernel32.dll;VirtualAlloc,120
kernel32.dll;CreateProcessA,120
kernel32.dll;CopyFileA,120
kernel32.dll;GetTempPathA,120
kernel32.dll;GetSystemDirectoryA,120
kernel32.dll;ReadFile,120
kernel32.dll;WaitForSingleObject,120
kernel32.dll;LoadLibraryW,120
kernel32.dll;CreateFileA,120
kernel32.dll;SetFileTime,120
kernel32.dll;SetFileAttributesA,120
kernel32.dll;GetModuleFileNameW,120
user32.dll;wsprintfA,120
advapi32.dll;GetTokenInformation,120
msvcrt.dll;malloc,120
msvcrt.dll;strstr,120
msvcrt.dll;??2@YAPAXI@Z,120
kernel32.dll;MultiByteToWideChar,90
kernel32.dll;SetFilePointer,90
kernel32.dll;TerminateProcess,90
kernel32.dll;WideCharToMultiByte,90
kernel32.dll;GetEnvironmentVariableA,90
kernel32.dll;FindNextFileA,90
kernel32.dll;FindFirstFileA,90
kernel32.dll;CreateToolhelp32Snapshot,90
kernel32.dll;lstrcpyA,90
kernel32.dll;CreateThread,90
kernel32.dll;Process32First,90
kernel32.dll;Process32Next,90
kernel32.dll;GetCurrentThread,90
kernel32.dll;IsBadReadPtr,90
kernel32.dll;MapViewOfFile,90
kernel32.dll;GetFileTime,90
kernel32.dll;GetCurrentProcessId,90
kernel32.dll;GetFileAttributesA,90
kernel32.dll;GetProcessHeap,90
kernel32.dll;VirtualProtect,90
kernel32.dll;LocalFileTimeToFileTime,90
kernel32.dll;SystemTimeToFileTime,90
user32.dll;UpdateWindow,90
user32.dll;DestroyWindow,90
msvcrt.dll;exit,90
msvcrt.dll;rand,90
msvcrt.dll;_stricmp,90
msvcrt.dll;strncpy,90
msvcrt.dll;_snprintf,90
msvcrt.dll;realloc,90
msvcrt.dll;??3@YAXPAX@Z,90
msvcrt.dll;strrchr,90
ole32.dll;CoCreateInstance,90
ole32.dll;CoInitialize,90
kernel32.dll;GetCPInfo,60
kernel32.dll;GetCommandLineA,60
kernel32.dll;GetVersion,60
kernel32.dll;GetFileType,60
kernel32.dll;HeapReAlloc,60
kernel32.dll;GetShortPathNameA,60
kernel32.dll;CreateMutexA,60
kernel32.dll;CreatePipe,60
kernel32.dll;OpenProcess,60
kernel32.dll;FindClose,60
kernel32.dll;GetSystemTime,60
kernel32.dll;LocalFree,60
kernel32.dll;LocalAlloc,60
kernel32.dll;SetLastError,60
kernel32.dll;CreateFileW,60
kernel32.dll;CreateFileMappingA,60
kernel32.dll;GetTempFileNameA,60
kernel32.dll;GetWindowsDirectoryA,60
kernel32.dll;DisableThreadLibraryCalls,60
kernel32.dll;VirtualAllocEx,60
kernel32.dll;ProcessIdToSessionId,60
kernel32.dll;UnmapViewOfFile,60
user32.dll;TranslateMessage,60
user32.dll;ShowWindow,60
user32.dll;CreateWindowExW,60
user32.dll;GetDC,60
user32.dll;EnableWindow,60
advapi32.dll;LookupAccountSidA,60
advapi32.dll;FreeSid,60
advapi32.dll;RegCloseKey,60
wininet.dll;InternetWriteFile,60
wininet.dll;HttpEndRequestA,60
wininet.dll;InternetCloseHandle,60
wininet.dll;InternetReadFile,60
msvcrt.dll;__set_app_type,60
msvcrt.dll;_except_handler3,60
msvcrt.dll;__p__fmode,60
msvcrt.dll;__p__commode,60
msvcrt.dll;_controlfp,60
msvcrt.dll;__setusermatherr,60
msvcrt.dll;__getmainargs,60
msvcrt.dll;_XcptFilter,60
msvcrt.dll;_exit,60
msvcrt.dll;fread,60
msvcrt.dll;strncmp,60
msvcrt.dll;sprintf,60
msvcrt.dll;atoi,60
msvcrt.dll;getenv,60
msvcrt.dll;printf,60
msvcrt.dll;srand,60
msvcrt.dll;time,60
msvcrt.dll;_itoa,60
msvcrt.dll;fclose,60
msvcrt.dll;fwrite,60
msvcrt.dll;fseek,60
msvcrt.dll;fopen,60
msvcrt.dll;_wcsicmp,60
msvcrt.dll;strlen,60
msvcrt.dll;wcslen,60
msvcrt.dll;_strlwr,60
msvcrt.dll;rename,60
msvcrt.dll;calloc,60
msvcrt.dll;??1type_info@@UAE@XZ,60
ole32.dll;CoUninitialize,60
comdlg32.dll;GetOpenFileNameW,60
kernel32.dll;LCMapStringW,30
kernel32.dll;LCMapStringA,30
kernel32.dll;GetStringTypeA,30
kernel32.dll;GetOEMCP,30
kernel32.dll;GetACP,30
kernel32.dll;FlushFileBuffers,30
kernel32.dll;UnhandledExceptionFilter,30
kernel32.dll;FreeEnvironmentStringsA,30
